index,name,surname,initials,age,dateOfBirth
105,"Pieter Andre",Gallegos,PA,31,1987/03/16
106,Freddie,Fuentes,F,18,2000/08/04
107,Shae,Durham,S,26,1992/01/28
108,Aron-James,Fulton,A,16,2002/11/12
109,"Garret Pieter",Gallegos,GP,36,1982/05/13
110,"Garret Pieter",Ellis,GP,0,2018/06/08
111,Shai,Fuller,S,42,1976/12/29
112,Aaron,Eaton,A,44,1974/02/07
113,Jan,Duran,J,4,2014/02/09
114,Aron-James,Emerson,A,29,1989/10/20
115,Freddie,"Van Zyl",F,40,1978/08/16
116,Shai,Gallegos,S,34,1984/06/19
117,Shane,Elliott,S,22,1996/12/11
118,Frik,Elliott,F,25,1993/06/01
119,jaco,Gamble,j,19,1999/04/01
120,Jan,"Van Zyl",J,38,1980/07/04
121,Aaron,Gamble,A,7,2011/10/11
122,Ben,Fuller,B,21,1997/11/16
123,"Garret Pieter",Galloway,GP,43,1975/06/24
124,Santie,Duran,S,8,2010/01/24
125,Shae,Elliott,S,36,1982/07/21
126,Peter,"Van Zyl",P,5,2013/09/11
127,Miena,England,M,3,2015/07/23
128,Shae,Gallagher,S,21,1997/06/28
129,"Pieter Andre",Edwards,PA,45,1973/11/07
130,Santie,Dyer,S,5,2013/01/02
131,Jan,Gallagher,J,39,1979/04/05
132,"Pieter Andre",Ellison,PA,39,1979/12/11
133,Susan,Dyer,S,31,1987/11/26
134,Frik,Emerson,F,13,2005/05/24
135,Shahmir,Ellis,S,12,2006/01/06
136,Miena,Dyer,M,44,1974/01/23
137,Ben,Harold,B,48,1970/09/14
138,"Pieter Andre",Gamble,PA,0,2018/05/03
139,Maria,Eaton,M,28,1990/03/13
140,"Garret Pieter",Elliott,GP,45,1973/03/03
141,Riaan,Gallegos,R,0,2018/06/10
142,Maria,Gamble,M,38,1980/01/30
143,Jan,Gallagher,J,35,1983/09/25
144,Santie,Gaines,S,1,2017/02/28
145,Shadow,Gamble,S,23,1995/06/20
146,Shahmir,Ellison,S,12,2006/10/24
147,Riaan,"Van Zyl",R,0,2018/09/26
148,Aaron,Gaines,A,47,1971/04/08
149,Shane,Elliott,S,35,1983/06/08
150,Shahmir,Fuentes,S,32,1986/02/25
151,Maria,Gaines,M,21,1997/06/03
152,Peter,Emerson,P,12,2006/03/15
153,Shane,England,S,7,2011/10/29
154,Shae,Eaton,S,22,1996/01/03
155,Aaron,Durham,A,40,1978/06/11
156,Aron-James,Duran,A,15,2003/09/04
157,Riaan,Gallegos,R,20,1998/07/12
158,Freddie,Emerson,F,35,1983/10/28
159,Miena,Fuentes,M,34,1984/06/07
160,jaco,Fuentes,j,33,1985/06/09
161,Ben,Edwards,B,16,2002/08/04
162,Shane,Harold,S,45,1973/08/19
163,Santie,Harold,S,46,1972/10/29
164,"Garret Pieter",England,GP,37,1981/05/30
165,Shae,Gallegos,S,17,2001/01/02
166,Shahmir,Harold,S,42,1976/12/14
167,Aaron,Gallagher,A,31,1987/08/29
168,Shai,"Van Zyl",S,30,1988/01/27
169,"Garret Pieter",Elliott,GP,4,2014/11/29
170,Aaron,"Van Zyl",A,12,2006/06/20
171,"Pieter Andre",Durham,PA,46,1972/11/09
172,Santie,England,S,11,2007/09/24
173,"Garret Pieter",Galloway,GP,3,2015/07/06
174,Shahmir,Gallegos,S,6,2012/05/01
175,Ben,Gallegos,B,6,2012/08/18
176,Shadow,Dyer,S,2,2016/07/25
177,Frik,Dyer,F,20,1998/12/20
178,Shai,Eaton,S,9,2009/11/06
179,Aaron,Gaines,A,22,1996/01/03
180,Shane,Gaines,S,15,2003/11/22
181,"Garret Pieter",Elliott,GP,17,2001/01/08
182,Ben,Elliott,B,14,2004/12/08
183,jaco,Duran,j,22,1996/03/25
184,Frik,Fulton,F,21,1997/10/01
185,Ben,England,B,6,2012/09/15
186,jaco,England,j,12,2006/11/26
187,Aaron,Edwards,A,45,1973/05/21
188,Shane,England,S,6,2012/11/15
189,Susan,"Van Zyl",S,27,1991/03/15
190,Aaron,Gaines,A,31,1987/06/10
191,Santie,Ellis,S,9,2009/01/21
192,Shai,Edwards,S,25,1993/07/12
193,Jan,"Van Zyl",J,8,2010/05/03
194,Shane,Harold,S,23,1995/03/25
195,Shadow,Gamble,S,3,2015/11/11
196,Santie,Gaines,S,25,1993/01/04
197,Susan,Elliott,S,19,1999/02/23
198,Aron-James,Gallagher,A,45,1973/11/21
199,Frik,Fulton,F,42,1976/06/25
200,"Pieter Andre",Gamble,PA,41,1977/06/04
201,Aaron,Ellison,A,11,2007/06/30
202,"Pieter Andre",Durham,PA,36,1982/04/23
203,Maria,Ellison,M,30,1988/11/28
204,"Garret Pieter",Durham,GP,15,2003/01/06
205,Shadow,Elliott,S,27,1991/08/27
206,Freddie,Eaton,F,27,1991/06/28
207,Frik,"Van Zyl",F,33,1985/11/28
208,jaco,Eaton,j,11,2007/12/11
209,Shai,Duran,S,15,2003/11/23
210,Shai,Durham,S,15,2003/12/20
211,Jan,Gallegos,J,19,1999/09/18
212,Ben,England,B,33,1985/10/17
213,Miena,"Van Zyl",M,8,2010/12/09
214,Shai,Gaines,S,46,1972/10/14
215,Shahmir,Dyer,S,11,2007/12/12
216,jaco,Harold,j,4,2014/08/14
217,Shadow,Gamble,S,22,1996/10/21
218,Ben,Fuentes,B,5,2013/05/14
219,Shane,England,S,14,2004/03/29
220,Miena,Ellis,M,4,2014/04/28
221,Riaan,Edwards,R,29,1989/02/01
222,"Garret Pieter",England,GP,37,1981/07/06
223,Shai,Dyer,S,0,2018/02/23
224,Shae,England,S,19,1999/05/21
225,Susan,Gallagher,S,14,2004/10/09
226,"Garret Pieter",England,GP,4,2014/06/23
227,Shane,Ellis,S,48,1970/10/26
228,Aron-James,Ellis,A,17,2001/08/06
229,Jan,Harold,J,32,1986/02/01
230,Shane,Harold,S,38,1980/05/22
231,Susan,Fuentes,S,2,2016/02/22
232,"Garret Pieter",Dyer,GP,14,2004/07/10
233,Ben,Gallagher,B,17,2001/01/16
234,Aron-James,Harold,A,48,1970/06/16
235,jaco,Elliott,j,34,1984/10/24
236,"Garret Pieter",Ellison,GP,42,1976/11/09
237,Shane,Fulton,S,31,1987/09/23
238,jaco,Galloway,j,7,2011/07/02
239,Frik,Fuentes,F,38,1980/12/28
240,Shane,Emerson,S,7,2011/09/25
241,Freddie,Durham,F,45,1973/03/06
242,Frik,Ellison,F,43,1975/06/06
243,Shae,"Van Zyl",S,33,1985/11/25
244,Freddie,Dyer,F,39,1979/03/06
245,Aaron,Gallegos,A,37,1981/05/13
246,Aaron,Eaton,A,40,1978/07/14
247,jaco,Eaton,j,43,1975/07/10
248,Frik,Dyer,F,43,1975/10/20
249,Frik,Eaton,F,25,1993/02/27
250,jaco,Emerson,j,46,1972/10/16
251,Shane,Duran,S,16,2002/06/22
252,"Garret Pieter",Gallagher,GP,33,1985/04/25
253,Peter,Gaines,P,11,2007/10/21
254,"Garret Pieter",Edwards,GP,42,1976/08/08
255,Riaan,Durham,R,12,2006/07/10
256,Shai,Ellis,S,40,1978/08/15
257,"Pieter Andre",Dyer,PA,43,1975/01/10
258,Aaron,Fuentes,A,13,2005/05/09
259,Santie,Ellison,S,24,1994/10/30
260,Shai,Emerson,S,35,1983/01/19
261,"Garret Pieter",Gaines,GP,36,1982/07/01
262,Jan,Harold,J,43,1975/11/13
263,Maria,Gallagher,M,6,2012/10/06
264,jaco,Duran,j,1,2017/03/03
265,Aron-James,Fuller,A,31,1987/03/01
266,Riaan,Galloway,R,18,2000/10/19
267,Shadow,Edwards,S,42,1976/10/25
268,Santie,Gaines,S,24,1994/12/06
269,Jan,Durham,J,44,1974/10/26
270,Miena,Gamble,M,16,2002/11/29
271,Shai,Durham,S,38,1980/09/29
272,Ben,Fuller,B,10,2008/03/12
273,Frik,Gamble,F,48,1970/08/17
274,Shane,Dyer,S,18,2000/10/20
275,Peter,Ellis,P,31,1987/11/22
276,Frik,Edwards,F,38,1980/04/26
277,Shai,Harold,S,23,1995/03/25
278,Shadow,England,S,7,2011/07/06
279,Shai,Fuentes,S,46,1972/04/22
280,Shane,Gallagher,S,2,2016/09/08
281,Aaron,Gallagher,A,6,2012/07/22
282,Ben,Dyer,B,28,1990/04/10
283,Jan,Gamble,J,40,1978/11/10
284,Aaron,Galloway,A,47,1971/06/24
285,Santie,Dyer,S,41,1977/10/14
286,Frik,Gallegos,F,28,1990/02/15
287,Peter,Durham,P,16,2002/01/14
288,Aaron,England,A,5,2013/12/23
289,jaco,Dyer,j,26,1992/02/02
290,Frik,Durham,F,15,2003/08/24
291,jaco,Fuentes,j,7,2011/11/12
292,Ben,Eaton,B,8,2010/07/15
293,"Garret Pieter",Emerson,GP,39,1979/07/26
294,Jan,Gamble,J,12,2006/11/11
295,Shahmir,Ellison,S,29,1989/09/03
296,Shai,Emerson,S,27,1991/07/17
297,Peter,England,P,4,2014/07/08
298,"Pieter Andre",Gamble,PA,37,1981/01/18
299,Freddie,Durham,F,42,1976/10/22
300,"Pieter Andre",Gallagher,PA,38,1980/05/18
301,Ben,Elliott,B,1,2017/04/30
302,Frik,Gaines,F,8,2010/04/04
303,Shahmir,Edwards,S,40,1978/03/24
304,Shae,Edwards,S,43,1975/08/10
305,Shae,Gaines,S,33,1985/08/24
306,Shae,Gaines,S,30,1988/09/14
307,Susan,Gallegos,S,48,1970/11/02
308,Freddie,Fulton,F,30,1988/02/03
309,Riaan,Fuentes,R,29,1989/02/20
310,Shahmir,Fuentes,S,32,1986/05/30
311,Maria,Harold,M,31,1987/05/24
312,Jan,"Van Zyl",J,13,2005/04/20
313,"Pieter Andre",Fuentes,PA,6,2012/07/03
314,Shai,Gamble,S,15,2003/10/20
315,Shahmir,Fuentes,S,30,1988/01/28
316,Aaron,Elliott,A,39,1979/06/23
317,Shae,England,S,44,1974/04/06
318,Shadow,Duran,S,47,1971/03/06
319,Jan,Fulton,J,26,1992/04/28
320,Ben,Fulton,B,48,1970/02/27
321,Santie,Galloway,S,28,1990/04/27
322,Aron-James,Eaton,A,39,1979/10/29
323,Santie,Fuller,S,0,2018/12/16
324,Shae,Edwards,S,23,1995/01/08
325,Aaron,Fuentes,A,40,1978/07/11
326,Freddie,Eaton,F,31,1987/04/02
327,Maria,Gaines,M,44,1974/03/12
328,Riaan,Elliott,R,10,2008/01/07
329,Ben,Emerson,B,26,1992/11/29
330,Shai,England,S,29,1989/06/12
331,Shae,Gallagher,S,42,1976/10/08
332,Shane,England,S,18,2000/06/13
333,Ben,Edwards,B,33,1985/07/21
334,Shane,Fuller,S,5,2013/02/18
335,Freddie,Eaton,F,23,1995/08/19
336,Jan,Gallegos,J,29,1989/09/14
337,Shahmir,Dyer,S,48,1970/04/30
338,Susan,Durham,S,19,1999/01/14
339,Shadow,Fuller,S,28,1990/09/11
340,Shane,Emerson,S,43,1975/12/24
341,Shai,Gamble,S,28,1990/03/03
342,Shadow,Gamble,S,6,2012/10/06
343,Riaan,Harold,R,14,2004/12/30
344,Ben,Fuller,B,47,1971/03/21
345,Riaan,Elliott,R,17,2001/11/29
346,Shadow,Elliott,S,5,2013/02/11
347,Aron-James,Galloway,A,10,2008/07/01
348,Riaan,"Van Zyl",R,10,2008/02/25
349,jaco,Elliott,j,23,1995/06/15
350,Susan,Duran,S,44,1974/08/30
351,"Garret Pieter",Gaines,GP,43,1975/02/17
352,Shadow,Edwards,S,12,2006/11/30
353,"Pieter Andre",Fulton,PA,39,1979/03/15
354,Aaron,Ellison,A,1,2017/09/27
355,Shai,Duran,S,19,1999/01/10
356,Peter,"Van Zyl",P,43,1975/02/20
357,Aron-James,Gaines,A,5,2013/09/04
358,Susan,Gallagher,S,28,1990/02/20
359,Peter,Fulton,P,33,1985/01/14
360,Aaron,Durham,A,18,2000/02/16
361,Shahmir,"Van Zyl",S,20,1998/06/01
362,Susan,Duran,S,43,1975/12/09
363,Shahmir,Gamble,S,30,1988/11/29
364,Shadow,Harold,S,29,1989/11/17
365,Peter,Eaton,P,17,2001/10/16
366,Santie,Eaton,S,15,2003/11/03
367,Susan,Fulton,S,4,2014/04/13
368,Shae,Dyer,S,42,1976/05/08
369,"Garret Pieter",Gamble,GP,7,2011/05/14
370,Santie,Fulton,S,3,2015/10/11
371,Shahmir,Ellison,S,20,1998/11/27
372,Susan,Galloway,S,31,1987/01/19
373,Riaan,Duran,R,0,2018/05/27
374,"Garret Pieter",Gallagher,GP,18,2000/03/17
375,Ben,England,B,18,2000/06/27
376,Aron-James,Ellis,A,23,1995/05/22
377,Santie,Fuller,S,7,2011/08/11
378,Shadow,Edwards,S,11,2007/10/01
379,Frik,Gaines,F,41,1977/09/03
380,Riaan,Emerson,R,38,1980/06/23
381,Peter,Duran,P,31,1987/04/23
382,Shahmir,Durham,S,31,1987/09/10
383,Aron-James,England,A,37,1981/09/05
384,Shae,"Van Zyl",S,28,1990/07/05
385,Shadow,Galloway,S,13,2005/01/05
386,Santie,"Van Zyl",S,44,1974/05/27
387,Ben,Dyer,B,40,1978/05/27
388,Maria,Fulton,M,17,2001/04/01
389,jaco,Ellison,j,4,2014/03/26
390,Aaron,Durham,A,29,1989/08/15
391,Aron-James,Edwards,A,41,1977/03/26
392,Frik,Fuller,F,29,1989/11/26
393,Peter,Ellis,P,40,1978/02/08
394,Shane,Harold,S,30,1988/01/15
395,Santie,"Van Zyl",S,11,2007/05/07
396,jaco,Eaton,j,35,1983/09/09
397,Shae,Duran,S,0,2018/03/27
398,"Pieter Andre",Duran,PA,23,1995/01/18
399,Shadow,Ellison,S,8,2010/02/17
400,Riaan,Ellison,R,42,1976/07/13
401,jaco,Elliott,j,18,2000/06/03
402,Ben,Harold,B,29,1989/11/12
403,Peter,Galloway,P,25,1993/09/30
404,Aron-James,Gamble,A,42,1976/05/07
405,Shane,Gamble,S,23,1995/11/13
406,Peter,Fuentes,P,40,1978/01/15
407,"Garret Pieter",Elliott,GP,13,2005/08/05
408,Miena,Duran,M,27,1991/05/07
409,Peter,Durham,P,19,1999/09/06
410,Freddie,Harold,F,32,1986/01/16
411,Maria,Ellison,M,34,1984/12/23
412,Shahmir,Gallagher,S,19,1999/02/16
413,Jan,Galloway,J,41,1977/04/22
414,jaco,Harold,j,22,1996/10/03
415,Aaron,Fulton,A,40,1978/02/27
416,Aaron,Durham,A,14,2004/07/05
417,Shae,Gallagher,S,25,1993/05/22
418,Shane,Emerson,S,11,2007/08/18
419,Shae,Fuller,S,0,2018/08/16
420,Frik,England,F,43,1975/03/06
421,Shae,Emerson,S,17,2001/03/08
422,jaco,Gamble,j,45,1973/01/18
423,Aaron,Duran,A,16,2002/03/27
424,Shai,Ellis,S,5,2013/12/09
425,Maria,Gaines,M,29,1989/06/07
426,jaco,Gamble,j,45,1973/08/28
427,Aron-James,England,A,10,2008/08/18
428,"Pieter Andre","Van Zyl",PA,7,2011/09/23
429,Frik,Dyer,F,16,2002/03/03
430,Shai,"Van Zyl",S,20,1998/09/13
431,Peter,Gaines,P,11,2007/05/25
432,Shahmir,Edwards,S,14,2004/11/19
433,Aron-James,Dyer,A,35,1983/02/28
434,Shadow,Elliott,S,38,1980/10/30
435,Shai,Fuller,S,29,1989/01/27
436,Shae,Fuentes,S,7,2011/06/16
437,Ben,Galloway,B,41,1977/02/12
438,Freddie,Emerson,F,12,2006/06/24
439,Shae,Durham,S,27,1991/09/30
440,Aaron,Durham,A,26,1992/08/17
441,Riaan,Eaton,R,47,1971/05/06
442,"Pieter Andre",Fulton,PA,15,2003/01/19
443,Shai,Ellison,S,46,1972/07/23
444,Aron-James,Fulton,A,25,1993/01/22
445,Freddie,England,F,31,1987/01/11
446,Susan,Gallagher,S,41,1977/01/08
447,Aaron,Emerson,A,29,1989/04/22
448,Shae,Elliott,S,42,1976/08/25
449,Shai,Ellis,S,23,1995/03/13
450,"Pieter Andre",Elliott,PA,25,1993/11/07
451,"Pieter Andre",Dyer,PA,9,2009/06/28
452,Shahmir,Gamble,S,32,1986/02/14
453,Peter,Fuentes,P,28,1990/08/06
454,Shahmir,Fuller,S,10,2008/10/03
455,Aron-James,Gaines,A,36,1982/08/17
456,Shahmir,Eaton,S,32,1986/10/28
457,jaco,England,j,5,2013/10/23
458,Frik,"Van Zyl",F,10,2008/12/10
459,Miena,Dyer,M,43,1975/09/28
460,Shane,England,S,20,1998/02/06
461,Santie,Dyer,S,18,2000/08/23
462,Shane,Dyer,S,6,2012/03/23
463,Shae,England,S,25,1993/05/30
464,Freddie,Durham,F,29,1989/07/18
465,Shahmir,Fuentes,S,15,2003/01/23
466,Shahmir,Dyer,S,0,2018/03/30
467,"Garret Pieter",Harold,GP,44,1974/07/08
468,Shane,Elliott,S,2,2016/05/20
469,"Pieter Andre",Gaines,PA,12,2006/09/12
470,"Garret Pieter",Fulton,GP,46,1972/01/25
471,Shahmir,Harold,S,35,1983/04/04
472,"Garret Pieter",Ellis,GP,41,1977/07/16
473,Riaan,Eaton,R,27,1991/12/17
474,Aron-James,"Van Zyl",A,26,1992/07/28
475,Shane,Duran,S,42,1976/12/29
476,Maria,Gaines,M,47,1971/10/22
477,Peter,Ellis,P,46,1972/06/12
478,jaco,Fuller,j,29,1989/11/20
479,Ben,"Van Zyl",B,8,2010/01/12
480,Frik,Harold,F,36,1982/02/04
481,Miena,Edwards,M,29,1989/06/09
482,Jan,Fuentes,J,4,2014/11/14
483,Miena,Duran,M,32,1986/10/15
484,"Pieter Andre",Ellis,PA,9,2009/11/03
485,Frik,Harold,F,0,2018/04/05
486,Shai,"Van Zyl",S,19,1999/04/06
487,jaco,"Van Zyl",j,11,2007/03/01
488,Riaan,Edwards,R,30,1988/08/19
489,Freddie,Eaton,F,36,1982/05/01
490,Freddie,Ellis,F,10,2008/05/06
491,Shai,Ellison,S,45,1973/05/25
492,Jan,Fulton,J,46,1972/02/03
493,Shadow,Edwards,S,17,2001/08/08
494,Shai,Dyer,S,45,1973/05/25
495,Frik,Elliott,F,10,2008/06/04
496,Santie,Fuentes,S,25,1993/01/10
497,Freddie,"Van Zyl",F,34,1984/03/28
498,Ben,Gamble,B,11,2007/03/03
499,Freddie,Gallegos,F,20,1998/06/27
500,Frik,Emerson,F,2,2016/02/07
501,Aaron,England,A,42,1976/04/24
502,jaco,Durham,j,45,1973/02/05
503,"Pieter Andre",Eaton,PA,9,2009/01/11
504,Miena,Durham,M,21,1997/12/26
505,Freddie,Duran,F,19,1999/12/19
506,Riaan,"Van Zyl",R,6,2012/01/29
507,Santie,Dyer,S,45,1973/02/08
508,Frik,Gallegos,F,16,2002/07/01
509,Frik,Edwards,F,24,1994/08/30
510,Aaron,Gaines,A,9,2009/07/13
511,Frik,Durham,F,30,1988/08/09
512,Susan,Fuentes,S,47,1971/04/27
513,Susan,Eaton,S,42,1976/06/14
514,Shae,Durham,S,22,1996/09/12
515,Ben,Galloway,B,36,1982/07/25
516,Santie,Gamble,S,6,2012/09/06
517,Frik,Gallagher,F,36,1982/12/18
518,Freddie,Edwards,F,38,1980/01/06
519,Freddie,Elliott,F,1,2017/08/01
520,Ben,Eaton,B,5,2013/01/06
521,Peter,Edwards,P,24,1994/03/08
522,"Pieter Andre","Van Zyl",PA,26,1992/12/12
523,Shae,Gamble,S,31,1987/05/11
524,Miena,Gaines,M,18,2000/12/11
525,Shadow,Emerson,S,41,1977/01/27
526,Maria,Gallagher,M,20,1998/04/13
527,jaco,Elliott,j,21,1997/09/05
528,Miena,Gamble,M,43,1975/10/15
529,Shai,Dyer,S,20,1998/09/08
530,Miena,Gaines,M,14,2004/03/25
531,Miena,Gaines,M,30,1988/09/13
532,"Pieter Andre",Fuentes,PA,43,1975/10/05
533,Miena,"Van Zyl",M,1,2017/05/30
534,Aaron,Gallegos,A,43,1975/07/27
535,Maria,Harold,M,9,2009/06/15
536,Susan,Gallagher,S,30,1988/09/19
537,Santie,Fuentes,S,12,2006/04/11
538,Miena,Edwards,M,25,1993/08/17
539,Jan,Duran,J,21,1997/10/12
540,Shae,Ellis,S,32,1986/10/20
541,Shahmir,Ellis,S,28,1990/06/19
542,Riaan,Edwards,R,44,1974/02/18
543,Shai,Galloway,S,10,2008/01/20
544,Maria,Galloway,M,1,2017/04/01
545,Maria,Gamble,M,8,2010/10/18
546,Ben,Galloway,B,3,2015/03/07
547,Aaron,Emerson,A,36,1982/10/06
548,"Pieter Andre",Emerson,PA,22,1996/01/02
549,Peter,Ellison,P,44,1974/10/07
550,Aron-James,Fuentes,A,33,1985/08/20
551,Miena,Ellison,M,0,2018/10/10
552,Ben,Dyer,B,5,2013/05/17
553,Freddie,Durham,F,6,2012/10/25
554,Riaan,Gallegos,R,5,2013/12/12
555,Miena,Duran,M,30,1988/03/20
556,Shai,Durham,S,27,1991/09/18
557,Shai,Elliott,S,19,1999/05/11
558,"Pieter Andre",Dyer,PA,4,2014/02/16
559,Shae,Fuentes,S,34,1984/07/07
560,Shae,Fuentes,S,41,1977/02/25
561,Santie,Galloway,S,43,1975/12/26
562,Shadow,"Van Zyl",S,42,1976/02/06
563,Shadow,Edwards,S,45,1973/03/13
564,jaco,Emerson,j,12,2006/02/04
565,Riaan,Emerson,R,18,2000/03/10
566,Freddie,Duran,F,3,2015/07/13
567,jaco,Gallagher,j,43,1975/12/11
568,Shae,Durham,S,12,2006/03/01
569,Aron-James,Gaines,A,15,2003/11/03
570,"Garret Pieter",Harold,GP,0,2018/08/17
571,Frik,Dyer,F,19,1999/02/26
572,"Garret Pieter",Fulton,GP,3,2015/09/28
573,Susan,Gamble,S,29,1989/01/17
574,Shahmir,England,S,15,2003/04/25
575,Santie,Eaton,S,47,1971/04/10
576,Ben,Galloway,B,26,1992/12/14
577,Frik,"Van Zyl",F,45,1973/12/20
578,Maria,Dyer,M,23,1995/01/24
579,Miena,Ellis,M,30,1988/10/09
580,Shai,Eaton,S,33,1985/05/14
581,"Garret Pieter",Harold,GP,19,1999/09/16
582,Freddie,Fulton,F,37,1981/12/08
583,Freddie,"Van Zyl",F,7,2011/05/22
584,Freddie,Elliott,F,32,1986/05/14
585,Santie,Dyer,S,36,1982/03/02
586,Frik,Eaton,F,26,1992/09/05
587,Ben,Gaines,B,21,1997/07/06
588,Shadow,Harold,S,5,2013/10/20
589,jaco,Gallagher,j,41,1977/09/08
590,Ben,Emerson,B,36,1982/09/26
591,Freddie,Eaton,F,20,1998/06/13
592,Aaron,"Van Zyl",A,26,1992/12/03
593,Susan,Ellis,S,47,1971/02/12
594,Santie,Gallegos,S,4,2014/07/29
595,Riaan,Fuller,R,0,2018/02/19
596,Shai,Elliott,S,3,2015/05/03
597,Aaron,Dyer,A,31,1987/10/23
598,Shai,Durham,S,10,2008/03/07
599,Aron-James,Eaton,A,8,2010/05/17
600,Riaan,"Van Zyl",R,47,1971/04/29
601,jaco,Eaton,j,40,1978/01/08
602,Shane,Galloway,S,45,1973/02/13
603,Aaron,Elliott,A,48,1970/07/14
604,Shae,Gallagher,S,13,2005/10/11
